model
Canon EF 14mm f/2.8L II USM
Canon EF 20mm f/2.8 USM
Canon EF 24mm f/1.4L II USM
Canon EF 24mm f/2.8 IS USM
Canon EF 28mm f/1.8 USM
Canon EF 28mm f/2.8 IS USM
Canon EF 35mm f/1.4L II USM
Canon EF 35mm f/2 IS USM
Canon EF 40mm f/2.8 STM
Canon EF 50mm f/1.2L USM
Canon EF 50mm f/1.4 USM
Canon EF 50mm f/1.8 STM
Canon EF 85mm f/1.2L II USM
Canon EF 85mm f/1.4L IS USM
Canon EF 85mm f/1.8 USM
Canon EF 100mm f/2 USM
Canon EF 100mm f/2.8 Macro USM
Canon EF 100mm f/2.8L Macro IS USM
Canon EF 135mm f/2L USM
Canon EF 200mm f/2L IS USM
Canon EF 200mm f/2.8L II USM
Canon EF 300mm f/2.8L IS II USM
Canon EF 300mm f/4L IS USM
Canon EF 400mm f/2.8L IS III USM
Canon EF 400mm f/4 DO IS II USM
Canon EF 500mm f/4L IS II USM
Canon EF 600mm f/4L IS III USM
Canon EF 800mm f/5.6L IS USM
Canon EF 16- 35mm f/2.8L III USM
Canon EF 16- 35mm f/4L IS USM
Canon EF 24- 70mm f/2.8L II USM
Canon EF 24- 105mm f/4L IS II USM
Canon EF 24- 105mm f/3.5-5.6 IS STM
Canon EF 70- 200mm f/2.8L IS III USM
Canon EF 70- 200mm f/4L IS II USM
Canon EF 70- 300mm f/4- 5.6 IS II USM
Canon EF 100- 400mm f/4.5-5.6L IS II USM
Canon EF-S 10- 18mm f/4.5- 5.6 IS STM
Canon EF-S 10- 22mm f/3.5- 4.5 USM
Canon EF-S 17- 55mm f/2.8 IS USM
Canon EF-S 17- 85mm f/4- 5.6 IS USM
Canon EF-S 18- 135mm f/3.5-5.6 IS STM
Canon EF-S 55- 250mm f/4- 5.6 IS STM
Canon EF-S 24mm f/2.8 STM
Canon RF 15- 35mm f/2.8L IS USM
Canon RF 16mm f/2.8 STM
Canon RF 24- 70mm f/2.8L IS USM
Canon RF 24- 105mm f/4L IS USM
Canon RF 24- 240mm f/4- 6.3 IS USM
Canon RF 28- 70mm f/2L USM
Canon RF 35mm f/1.8 IS Macro STM
Canon RF 50mm f/1.2L USM
Canon RF 50mm f/1.8 STM
Canon RF 85mm f/1.2L USM
Canon RF 85mm f/1.2L DS USM RF 85mm f/2 Macro IS STM
Canon RF 70- 200mm f/2.8L IS USM
Canon RF 70- 200mm f/4L IS USM
Canon RF 100- 400mm f/5.6-8 IS USM
Canon RF 100mm f/2.8L Macro IS USM
Canon RF 600mm f/11 IS STM
Canon RF 800mm f/11 IS STM
Canon RF 400mm f/2.8L IS USM
Canon RF 600mm f/4L IS USM
Canon RF-S 18- 150mm f/3.5-6.3 IS STM
Canon RF-S 10- 18mm f/4.5- 6.3 IS STM
Canon EF-M 11- 22mm f/4- 5.6 IS STM
Canon EF-M 18- 150mm f/3.5-6.3 IS STM
Canon EF-M 22mm f/2 STM
Canon EF-M 28mm f/3.5 Macro IS STM
Canon EF-M 32mm f/1.4 STM
Nikon AF-S 14- 24mm f/2.8G ED
Nikon AF-S 16- 35mm f/4G ED VR
Nikon AF-S 17- 35mm f/2.8D IF-ED
Nikon AF-S 24- 70mm f/2.8G ED
Nikon AF-S 24- 70mm f/2.8E ED VR
